Students	10000
416	40 74 78 18
417	57 3 4 26
418	85 88 58 69
419	9 46 15 31
420	88 25 19 29
421	90 31 19 82
422	86 60 38 78
423	30 34 29 87
424	25 31 5 32
425	62 51 40 4
426	47 64 37 4
427	57 58 19 81
428	36 17 9 40
429	37 32 5 59
430	1 40 72 79
431	79 27 48 47
432	45 18 54 25
433	32 28 86 1
434	77 49 21 7
435	26 25 73 4
436	70 8 59 14
437	44 68 14 74
438	35 44 46 59
439	90 75 51 24
440	72 68 11 21
441	33 40 69 2
442	10 57 64 39
443	20 31 6 28
444	78 86 6 42
445	29 69 16 83
446	47 66 17 36
447	56 62 5 23
448	63 74 56 51
449	43 89 14 87
450	51 29 90 55
451	78 25 75 7
452	39 59 76 85
453	17 62 4 35
454	17 22 82 33
455	56 61 41 13
456	55 48 75 53
457	57 27 51 24
458	33 35 85 7
459	27 23 12 14
460	80 65 11 9
461	65 47 45 6
462	4 29 3 85
463	40 18 75 35
464	46 89 20 51
465	57 85 44 40
466	38 25 32 36
467	53 6 83 52
468	64 9 66 87
469	53 19 68 90
470	62 83 36 89
471	78 44 19 70
472	68 26 56 11
473	56 43 36 25
474	19 66 70 1
475	67 80 61 8
476	16 45 24 49
477	46 8 50 5
478	60 71 29 16
479	61 14 89 39
480	39 46 64 10
481	59 52 88 60
482	49 18 12 56
483	67 26 73 5
484	87 84 40 74
485	89 16 73 84
486	68 67 53 50
487	52 3 45 86
488	43 87 54 75
489	50 87 90 81
490	55 38 28 45
491	78 57 55 79
492	45 20 29 41
493	83 30 38 74
494	23 28 74 43
495	66 47 10 60
496	18 67 6 74
497	76 7 9 29
498	4 55 60 69
499	65 41 16 72
500	5 64 66 48
501	20 86 40 34
502	27 44 29 60
503	30 35 75 74
504	31 84 33 57
505	42 14 89 62
506	11 25 67 48
507	75 11 52 17
508	22 67 8 42
509	25 46 50 15
510	8 5 39 48
511	68 56 22 90
512	66 53 69 64
513	58 10 90 7
514	33 15 60 63
515	15 68 46 4
516	82 80 61 40
517	54 43 38 69
518	48 87 73 63
519	13 20 85 84
520	26 36 55 58
521	76 26 80 53
522	5 16 9 13
523	40 90 1 59
524	89 62 7 31
525	84 12 40 24
526	30 89 52 68
527	40 3 47 43
528	16 66 84 90
529	67 44 80 8
530	59 90 39 73
531	28 80 41 12
532	58 1 70 52
533	44 15 86 11
534	22 89 7 24
535	22 15 41 59
536	82 37 56 36
537	36 75 88 45
538	22 37 45 49
539	16 68 41 17
540	77 90 37 89
541	87 27 66 14
542	33 40 57 61
543	9 57 10 48
544	26 18 1 8
545	18 7 4 25
546	42 71 54 73
547	61 50 82 33
548	42 14 85 3
549	15 61 58 7
550	17 69 19 11
551	21 37 54 78
552	20 79 66 42
553	64 51 53 57
554	54 81 41 85
555	21 41 60 85
556	64 55 45 16
557	13 75 79 37
558	55 11 52 64
559	73 71 37 47
560	52 3 66 63
561	88 89 41 65
562	41 47 53 66
563	37 21 1 35
564	58 84 50 78
565	58 77 29 32
566	61 78 79 59
567	23 69 90 53
568	35 81 39 25
569	75 68 32 41
570	9 84 48 19
571	50 1 55 37
572	88 45 41 65
573	35 62 88 79
574	55 66 1 88
575	10 2 5 84
576	33 77 84 74
577	63 7 10 90
578	2 47 73 8
579	64 19 10 83
580	26 19 56 31
581	54 64 42 37
582	28 51 79 84
583	64 68 85 7
584	27 62 23 22
585	24 37 6 64
586	59 69 3 83
587	87 77 89 69
588	21 74 57 34
589	50 17 18 36
590	68 84 57 55
591	14 51 42 90
592	33 89 16 55
593	45 81 62 71
594	67 16 61 63
595	76 62 4 61
596	68 12 71 74
597	40 53 15 5
598	85 49 87 23
599	33 34 45 47
600	4 25 35 22
601	24 77 57 34
602	62 54 72 1
603	13 40 7 87
604	55 58 77 27
605	9 74 38 26
606	25 75 41 83
607	55 67 81 75
608	46 19 14 29
609	2 55 52 29
610	68 73 31 33
611	54 60 57 38
612	85 20 89 14
613	32 77 25 12
614	36 16 24 63
615	60 30 24 23
616	44 63 82 77
617	27 48 26 22
618	4 65 63 13
619	14 11 38 3
620	49 25 34 67
621	68 48 43 65
622	16 11 21 13
623	26 32 81 69
624	15 61 39 46
625	81 76 72 49
626	37 90 88 26
627	86 26 8 16
628	21 78 27 35
629	57 90 88 77
630	40 56 29 76
631	58 48 66 74
632	54 56 47 43
633	35 85 22 69
634	43 36 49 57
635	8 12 13 48
636	36 60 67 54
637	84 57 28 2
638	18 82 68 73
639	78 57 65 34
640	3 86 46 81
641	10 82 53 39
642	84 88 81 45
643	60 32 39 55
644	28 40 90 52
645	28 26 47 78
646	24 41 10 25
647	59 14 77 63
648	49 40 69 89
649	20 33 24 84
650	37 77 10 90
651	63 20 17 16
652	60 37 6 14
653	48 89 26 23
654	70 16 77 82
655	86 85 75 82
656	59 74 56 40
657	81 46 59 26
658	7 88 10 84
659	71 51 29 47
660	59 53 44 63
661	25 7 77 83
662	39 81 73 19
663	86 75 48 57
664	53 52 76 69
665	60 86 89 58
666	41 10 12 23
667	59 51 81 50
668	14 44 84 29
669	4 22 49 85
670	23 11 49 55
671	90 86 35 53
672	50 21 36 42
673	13 53 24 23
674	83 8 36 64
675	77 75 33 73
676	23 29 68 41
677	13 58 62 57
678	80 48 69 19
679	20 43 53 33
680	63 9 77 45
681	50 35 83 6
682	4 45 28 41
683	38 90 42 69
684	76 35 64 74
685	41 4 13 3
686	51 75 49 23
687	42 84 43 25
688	77 85 24 42
689	89 79 35 26
690	5 1 9 88
691	1 13 7 11
692	30 10 65 69
693	27 1 29 45
694	75 59 80 63
695	10 53 18 42
696	44 58 76 23
697	77 75 21 30
698	78 82 54 32
699	3 72 23 27
700	16 61 34 59
701	18 34 17 66
702	56 55 50 21
703	48 76 36 14
704	40 73 79 43
705	41 58 90 8
706	5 53 12 89
707	78 1 10 49
708	20 77 25 30
709	77 62 72 73
710	81 87 36 11
711	81 67 83 29
712	10 22 34 29
713	78 63 76 27
714	49 61 60 51
715	74 15 42 62
716	11 15 50 28
717	12 43 31 79
718	88 59 53 86
719	65 45 75 57
720	30 55 25 37
721	57 89 70 19
722	6 55 14 7
723	29 6 33 9
724	48 9 32 68
725	77 8 64 80
726	75 44 45 3
727	19 71 31 65
728	16 73 31 25
729	44 83 7 76
730	12 31 5 57
731	85 4 79 23
732	15 77 44 48
733	51 80 5 21
734	77 29 7 78
735	43 50 37 15
736	26 72 66 68
737	48 18 62 29
738	64 6 55 88
739	6 19 33 85
740	10 84 47 71
741	69 80 45 33
742	10 30 13 82
743	68 77 27 53
744	2 59 40 45
745	88 64 53 62
746	67 74 82 55
747	30 68 12 47
748	54 30 12 37
749	43 17 59 74
750	79 70 46 77
751	2 78 73 74
752	32 67 48 36
753	76 27 39 57
754	39 75 54 5
755	23 63 20 9
756	35 21 79 84
757	7 80 2 33
758	54 72 3 18
759	22 11 60 52
760	88 73 24 18
761	41 23 51 64
762	87 75 54 77
763	19 90 42 4
764	17 32 43 34
765	16 19 67 89
766	24 51 43 33
767	41 13 33 60
768	31 56 48 75
769	42 53 68 63
770	21 11 19 56
771	47 52 1 49
772	84 45 69 24
773	64 41 8 46
774	10 4 56 89
775	75 13 67 78
776	87 74 14 43
777	50 51 11 82
778	23 56 1 27
779	60 9 53 51
780	45 41 55 43
781	90 33 44 32
782	64 30 33 31
783	51 39 88 85
784	46 45 14 38
785	16 11 69 20
786	50 16 10 5
787	28 42 45 2
788	87 46 10 62
789	17 24 47 76
790	60 81 62 88
791	57 49 18 29
792	78 66 49 68
793	30 65 27 10
794	40 22 65 85
795	73 33 66 85
796	31 55 29 24
797	25 16 59 44
798	15 84 53 67
799	9 72 33 66
800	55 5 44 29
801	6 35 81 55
802	79 35 80 46
803	17 30 75 82
804	1 81 74 22
805	10 44 68 34
806	65 64 82 35
807	80 60 4 22
808	63 45 38 88
809	49 77 3 88
810	42 73 89 44
811	90 84 54 8
812	37 14 23 57
813	26 7 87 53
814	27 38 7 67
815	77 3 5 74
816	57 58 8 13
817	17 15 27 90
818	68 64 89 84
819	6 36 65 47
820	76 5 35 12
821	6 90 3 62
822	32 31 85 62
823	31 23 47 6
824	83 68 5 34
825	60 45 39 82
826	20 33 41 59
827	59 12 32 71
828	63 4 11 52
829	70 18 79 86
830	68 35 80 72
831	83 25 57 46
832	24 87 52 26
833	87 20 48 50
834	20 65 78 63
835	90 12 27 54
836	59 30 24 8
837	69 55 73 11
838	69 45 57 28
839	73 89 23 17
840	75 72 23 50
841	23 68 32 30
842	15 10 87 40
843	62 69 9 84
844	20 62 23 45
845	29 28 76 15
846	47 25 17 3
847	34 11 62 75
848	17 69 89 38
849	2 64 78 43
850	38 54 46 79
851	29 50 61 86
852	18 33 44 43
853	1 26 63 61
854	50 52 49 47
855	10 30 28 21
856	43 30 75 6
857	70 65 64 12
858	53 27 88 33
859	11 14 89 41
860	55 73 65 85
861	8 6 75 25
862	82 28 47 17
863	82 87 33 29
864	16 79 3 56
865	15 62 5 48
866	35 66 62 73
867	40 12 14 43
868	43 2 18 22
869	90 19 47 17
870	30 69 70 83
871	50 38 90 12
872	3 8 59 55
873	27 90 59 9
874	6 50 35 78
875	48 45 2 42
876	71 22 43 41
877	13 88 26 61
878	27 52 63 13
879	76 9 52 46
880	59 66 49 77
881	18 70 2 36
882	69 28 20 64
883	51 28 71 24
884	33 83 27 62
885	68 64 82 31
886	24 14 32 9
887	26 14 88 19
888	47 58 9 75
889	86 68 60 52
890	20 88 72 18
891	84 19 23 59
892	23 2 45 53
893	84 76 50 26
894	55 23 80 7
895	1 72 75 89
896	15 51 86 12
897	86 9 80 87
898	5 18 20 88
899	39 36 43 38
900	60 78 17 52
901	26 49 76 64
902	10 11 52 73
903	65 12 35 90
904	24 18 10 39
905	56 23 24 40
906	22 5 85 72
907	37 38 43 16
908	73 43 18 23
909	86 58 51 67
910	77 53 26 54
911	55 74 47 2
912	87 54 48 25
913	43 70 16 78
914	54 62 80 87
915	44 47 46 12
916	63 8 10 13
917	58 2 50 73
918	82 33 57 14
919	9 10 23 29
920	15 58 67 20
921	13 59 34 71
922	53 57 43 27
923	10 27 53 84
924	37 83 20 8
925	84 27 65 67
926	8 53 46 32
927	7 54 78 46
928	69 35 68 29
929	11 79 34 72
930	13 15 35 77
931	43 63 88 73
932	20 85 1 42
933	29 21 57 5
934	46 19 71 44
935	66 36 23 33
936	76 2 56 71
937	9 82 10 17
938	78 13 38 12
939	10 19 41 36
940	17 9 89 83
941	30 19 11 60
942	23 85 19 34
943	25 7 73 45
944	30 42 31 20
945	52 44 9 75
946	42 22 12 66
947	5 79 7 71
948	77 90 52 80
949	71 4 8 29
950	69 58 23 41
951	10 75 32 29
952	2 81 72 42
953	72 2 52 31
954	2 64 10 45
955	12 65 11 28
956	69 18 55 12
957	50 87 41 22
958	77 88 56 28
959	67 51 4 65
960	27 70 30 50
961	36 38 9 53
962	90 25 2 56
963	51 1 39 85
964	62 17 24 6
965	72 12 39 40
966	3 87 4 35
967	25 22 59 14
968	45 70 33 82
969	66 67 28 70
970	81 64 55 29
971	50 74 79 15
972	45 42 17 81
973	2 53 19 29
974	41 71 22 24
975	82 53 23 83
976	10 64 37 68
977	44 85 37 16
978	87 57 14 62
979	37 20 45 86
980	44 27 50 23
981	10 4 89 54
982	89 46 14 69
983	2 43 79 42
984	2 40 55 73
985	51 17 76 52
986	65 88 38 42
987	60 51 17 40
988	21 59 67 52
989	30 13 85 68
990	52 41 6 38
991	28 49 59 63
992	11 16 10 48
993	54 23 29 76
994	27 81 30 20
995	14 44 71 12
996	4 62 61 13
997	54 5 17 89
998	48 90 36 50
999	76 32 60 51
1000	18 71 32 33
1001	43 5 8 86
1002	5 62 75 12
1003	61 86 54 55
1004	80 45 54 12
1005	77 38 64 23
1006	2 55 3 27
1007	63 52 80 11
1008	7 46 4 87
1009	79 52 22 63
1010	16 10 28 7
1011	78 28 35 32
1012	2 75 66 6
1013	25 30 78 10
1014	35 78 43 32
1015	39 75 71 66
1016	33 45 74 50
1017	54 20 40 53
1018	72 45 11 52
1019	71 87 89 65
1020	54 1 24 26
1021	18 38 37 27
1022	69 7 10 81
1023	75 6 54 66
1024	34 50 55 85
1025	6 70 46 44
1026	15 72 34 4
1027	31 10 75 18
1028	66 28 87 70
1029	5 86 57 30
1030	89 18 75 5
1031	38 26 12 36
1032	14 83 17 38
1033	35 89 10 3
1034	68 30 25 32
1035	52 41 77 89
1036	30 66 4 40
1037	7 2 72 55
1038	71 64 13 17
1039	30 10 64 49
1040	11 85 84 61
1041	53 37 18 87
1042	55 88 48 79
1043	18 35 16 8
1044	31 39 47 89
1045	57 21 84 7
1046	48 22 37 85
1047	77 5 89 43
1048	29 5 3 14
1049	44 78 32 5
1050	41 7 59 65
1051	45 39 17 19
1052	87 69 28 26
1053	67 18 89 2
1054	82 27 12 28
1055	48 27 70 12
1056	36 74 37 11
1057	15 10 82 9
1058	65 9 63 60
1059	83 69 73 78
1060	41 89 35 42
1061	72 19 24 22
1062	17 18 82 67
1063	21 36 37 50
1064	55 32 61 11
1065	5 64 60 37
1066	89 88 86 50
1067	24 79 69 45
1068	22 26 57 63
1069	40 48 10 21
1070	36 24 48 55
1071	52 34 71 75
1072	23 59 57 32
1073	63 15 32 84
1074	57 27 15 40
1075	67 58 14 1
1076	22 20 11 71
1077	47 16 46 28
1078	22 34 9 57
1079	74 69 76 50
1080	71 15 2 80
1081	62 38 69 21
1082	48 11 88 17
1083	52 76 13 9
1084	25 78 22 50
1085	15 18 48 42
1086	20 59 62 79
1087	77 42 35 63
1088	20 41 4 73
1089	21 22 70 44
1090	1 18 47 33
1091	32 69 65 85
1092	43 89 45 37
1093	25 55 79 29
1094	89 18 58 67
1095	17 15 12 23
1096	19 49 79 63
1097	23 71 39 50
1098	20 21 26 25
1099	68 42 45 44
1100	18 65 68 84
1101	47 70 88 82
1102	51 15 28 71
1103	64 26 57 75
1104	34 89 59 42
1105	27 17 68 6
1106	1 72 62 55
1107	89 32 28 14
1108	42 45 56 3
1109	41 2 72 49
1110	33 5 16 7
1111	16 74 20 50
1112	30 44 47 29
1113	24 28 81 79
1114	66 83 67 47
1115	23 90 82 3
1116	5 56 28 50
1117	43 67 22 31
1118	29 59 79 66
1119	87 39 3 14
1120	86 72 55 63
1121	21 83 46 80
1122	43 63 66 16
1123	4 65 75 50
1124	67 68 13 89
1125	73 47 27 22
1126	19 10 78 4
1127	40 78 5 32
1128	49 12 76 17
1129	72 24 23 79
1130	64 28 84 45
1131	26 50 77 65
1132	55 16 67 26
1133	26 3 10 60
1134	70 40 78 4
1135	29 16 37 90
1136	75 2 63 6
1137	16 50 38 34
1138	71 74 42 46
1139	50 69 24 85
1140	38 25 29 19
1141	90 72 6 20
1142	59 75 14 30
1143	76 1 30 5
1144	86 35 52 21
1145	87 34 2 53
1146	88 15 4 80
1147	16 25 8 6
1148	46 80 38 14
1149	65 77 31 27
1150	25 40 17 45
1151	11 88 27 10
1152	54 88 75 55
1153	78 10 54 80
1154	16 62 10 70
1155	20 39 80 64
1156	7 40 39 44
1157	45 68 77 82
1158	46 55 39 45
1159	75 16 10 56
1160	35 28 20 71
1161	62 37 34 76
1162	3 59 50 33
1163	55 27 62 33
1164	66 50 58 44
1165	36 8 72 38
1166	69 72 14 63
1167	2 37 25 31
1168	31 21 6 53
1169	73 88 77 1
1170	5 45 19 57
1171	16 82 80 66
1172	81 27 29 54
1173	13 38 33 42
1174	47 10 2 30
1175	69 85 80 64
1176	10 82 23 66
1177	34 2 78 28
1178	86 60 7 43
1179	65 87 71 86
1180	7 63 13 6
1181	35 60 24 72
1182	53 82 55 35
1183	59 28 83 31
1184	9 45 13 37
1185	8 3 5 69
1186	60 62 71 56
1187	55 42 60 76
1188	69 33 24 62
1189	74 73 7 14
1190	40 37 10 50
1191	87 83 39 5
1192	59 23 27 26
1193	68 24 79 48
1194	75 48 11 4
1195	31 68 5 21
1196	89 65 39 71
1197	26 72 71 77
1198	53 5 49 16
1199	58 59 23 64
1200	7 61 31 81
1201	77 83 19 11
1202	42 52 55 64
1203	61 67 50 84
1204	40 76 74 68
1205	50 54 68 61
1206	79 42 85 68
1207	3 42 47 64
1208	82 54 47 64
1209	42 79 19 49
1210	2 37 55 7
1211	50 35 26 6
1212	33 21 32 57
1213	31 47 69 33
1214	87 82 7 25
1215	54 34 27 81
1216	52 63 32 5
1217	63 24 70 19
1218	27 69 45 18
1219	84 25 76 47
1220	5 11 41 68
1221	11 29 28 47
1222	26 28 80 70
1223	13 15 16 20
1224	51 48 42 23
1225	60 25 19 86
1226	75 1 54 81
1227	5 54 14 44
1228	8 64 90 57
1229	17 50 53 22
1230	15 60 75 6
1231	47 85 9 76
1232	33 89 63 49
1233	38 82 56 54
1234	12 42 36 28
1235	57 27 82 29
1236	1 53 41 58
1237	51 22 35 25
1238	83 88 76 58
1239	36 90 28 89
1240	72 24 81 16
1241	64 74 70 23
1242	27 86 32 57
1243	60 30 56 64
1244	22 20 11 70
1245	47 26 28 69
1246	85 28 21 53
1247	3 43 29 37
1248	37 14 8 46
1249	74 76 64 42
1250	16 63 51 53
1251	66 31 11 35
1252	84 81 21 87
1253	41 36 18 23
1254	31 51 18 5
1255	22 32 20 49
1256	44 74 80 62
1257	25 35 89 60
1258	46 82 34 66
1259	90 79 36 13
1260	74 14 56 66
1261	44 48 88 31
1262	38 29 87 16
1263	73 55 74 32
1264	59 11 43 80
1265	4 19 67 53
1266	72 30 55 34
1267	7 40 80 23
1268	78 51 79 9
1269	18 33 4 9
1270	18 14 68 69
1271	48 60 39 14
1272	8 49 33 22
1273	83 73 89 10
1274	29 32 73 65
1275	49 72 5 14
1276	52 90 7 66
1277	81 7 80 49
1278	47 28 58 80
1279	80 56 5 49
1280	24 60 36 34
1281	66 63 85 4
1282	25 49 71 45
1283	60 53 57 44
1284	77 80 64 41
1285	1 76 79 83
1286	65 75 47 84
1287	20 3 88 10
1288	64 11 23 37
1289	9 50 47 37
1290	49 31 24 78
1291	78 1 44 80
1292	51 78 70 59
1293	61 77 37 80
1294	82 45 2 58
1295	27 82 38 76
1296	35 18 52 72
1297	36 46 90 9
1298	23 72 50 67
1299	39 56 12 76
1300	57 12 65 37
1301	15 68 55 13
1302	21 87 79 29
1303	25 4 33 3
1304	17 45 49 29
1305	8 25 52 5
1306	40 21 12 52
1307	76 12 30 6
1308	1 51 71 64
1309	21 3 44 20
1310	81 68 24 62
1311	47 48 50 27
1312	8 4 59 75
1313	57 59 2 49
1314	11 36 12 72
1315	54 40 25 65
1316	46 44 66 2
1317	41 42 74 24
1318	81 41 19 5
1319	12 72 28 69
1320	29 41 27 10
1321	55 4 86 9
1322	16 22 81 45
1323	35 7 46 15
1324	5 26 90 75
1325	90 37 56 89
1326	47 77 31 78
1327	48 84 67 3
1328	51 71 19 12
1329	80 87 21 28
1330	62 66 15 47
1331	17 4 46 21
1332	19 38 62 84
1333	66 62 31 8
1334	73 85 60 86
1335	33 70 34 7
1336	12 51 87 74
1337	81 45 23 83
1338	31 6 38 45
1339	32 88 15 25
1340	24 47 67 53
1341	86 78 32 18
1342	16 75 6 64
1343	72 60 68 57
1344	6 15 20 23
1345	67 10 72 46
1346	34 37 60 70
1347	88 27 41 45
1348	65 5 78 79
1349	79 54 46 18
1350	58 57 86 33
1351	66 8 79 59
1352	45 55 44 24
1353	59 52 45 69
1354	55 86 85 33
1355	52 56 79 69
1356	82 80 64 42
1357	14 5 83 42
1358	57 26 61 5
1359	62 74 64 5
1360	29 33 88 85
1361	12 26 6 42
1362	25 47 26 63
